trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04417699994519353,,0.015609199996106327,5,0.04417699994519353,0.04417699994519353,0.030381000018678606,452.159892900032,[-0.43333333333333335],[0.3516666666666667],[1],[0],[0],[452.12876930006314],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
1,0,1,0,452.2052228000248,,452.1628802999621,5,452.2052228000248,452.2052228000248,0.01613310002721846,454.4096118999878,[0.27],[0.4533333333333333],[1],[0],[0],[2.2309281999478117],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
2,0,2,0,454.455830299994,,454.4120529999491,10,454.455830299994,454.455830299994,0.03167719999328256,456.1431799000129,[0.395],[-0.17],[1],[0],[0],[1.6996296000434086],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
3,0,3,0,456.1733497000532,,456.145486399997,5,456.1733497000532,456.1733497000532,0.015617000055499375,457.1436967999907,[0.23833333333333334],[0.085],[1],[0],[0],[0.9828849999466911],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
4,0,4,0,457.19015929999296,,457.14599530003034,10,457.19015929999296,457.19015929999296,0.029528999933972955,459.01326789997984,[-0.17833333333333334],[-0.3233333333333333],[1],[0],[0],[1.837508000084199],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
5,0,5,0,459.0576571000274,,459.0173759999452,10,459.0576571000274,459.0576571000274,0.028080400079488754,460.7456146000186,[0.07666666666666666],[0.37833333333333335],[1],[0],[0],[1.7008727999636903],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
6,0,6,0,460.791805600049,,460.74816960003227,10,460.791805600049,460.791805600049,0.028188099968247116,462.6964115999872,[-0.17333333333333334],[-0.35833333333333334],[1],[0],[0],[1.9203616000013426],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
7,0,7,0,462.7427246000152,,462.69875370000955,10,462.7427246000152,462.7427246000152,0.028205799986608326,463.96331989998,[0.04666666666666667],[-0.32666666666666666],[0],[0],[1],[1.2366303000599146],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
8,0,8,0,463.99334080005065,,463.9659202999901,5,463.99334080005065,463.99334080005065,0.01506960007827729,465.9151350000175,[-0.21],[0.27666666666666667],[1],[0],[0],[1.9343078000238165],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
9,0,9,0,465.96063650003634,,465.9178349999711,10,465.96063650003634,465.96063650003634,0.02756509999744594,467.31543249997776,[-0.03666666666666667],[0.39666666666666667],[1],[0],[0],[1.370311600039713],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
10,0,10,0,467.36096109997015,,467.3177747000009,10,467.36096109997015,467.36096109997015,0.028222499997355044,469.1664760999847,[-0.17],[0.008333333333333333],[1],[0],[0],[1.8207434000214562],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
11,0,11,0,469.2118667999748,,469.1698367999634,10,469.2118667999748,469.2118667999748,0.02887949999421835,470.2001694999635,[0.49333333333333335],[0.08666666666666667],[1],[0],[0],[1.0027407000306994],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
12,0,12,0,470.2453778999625,,470.20250569994096,10,470.2453778999625,470.2453778999625,0.027967299916781485,472.0160718000261,[0.005],[-0.3616666666666667],[1],[0],[0],[1.785902899922803],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
13,0,13,0,472.063208400039,,472.0184278000379,5,472.063208400039,472.063208400039,0.015029800008051097,473.618541099946,[0.2],[0.2683333333333333],[1],[0],[0],[1.5853397001046687],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
14,0,14,0,473.6465281000128,,473.62089110002853,5,473.6465281000128,473.6465281000128,0.016172199975699186,474.61860159994103,[-0.38166666666666665],[0.31166666666666665],[1],[0],[0],[0.9818735999288037],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
15,0,15,0,474.647972799954,,474.62115340004675,5,474.647972799954,474.647972799954,0.017251999932341278,476.25096880004276,[-0.13333333333333333],[-0.33166666666666667],[1],[0],[0],[1.612864499911666],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
16,0,16,0,476.28109880001284,,476.25335270003416,5,476.28109880001284,476.28109880001284,0.014519199961796403,477.687620599987,[0.4033333333333333],[-0.12666666666666668],[1],[0],[0],[1.419978899997659],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
17,0,17,0,477.71520640002564,,477.68993740004953,5,477.71520640002564,477.71520640002564,0.014761000056751072,480.1203785999678,[0.02],[0.43666666666666665],[1],[0],[0],[2.415809900034219],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
18,0,18,0,480.14952580002137,,480.1235016999999,5,480.14952580002137,480.14952580002137,0.014990300056524575,481.55623170000035,[0.04833333333333333],[-0.3383333333333333],[1],[0],[0],[1.4177852000575513],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
19,0,19,0,481.5830858000554,,481.56001070002094,5,481.5830858000554,481.5830858000554,0.01468590006697923,483.02098619996104,[0.25333333333333335],[-0.265],[0],[0],[1],[1.4467988000251353],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
20,0,20,0,483.0500063999789,,483.02330769994296,5,483.0500063999789,483.0500063999789,0.016843499965034425,484.0544464000268,[0.21333333333333335],[-0.32666666666666666],[0],[0],[1],[1.0145730999065563],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
21,0,21,0,484.10110880003776,,484.05676289997064,10,484.10110880003776,484.10110880003776,0.028722899965941906,485.4888213999802,[-0.39],[0.26],[1],[0],[0],[1.4036199999973178],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
22,0,22,0,485.534949199995,,485.49170220003,10,485.534949199995,485.534949199995,0.02860550000332296,486.7573177999584,[0.06333333333333334],[0.3566666666666667],[1],[0],[0],[1.2378380000591278],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
23,0,23,0,486.8190718999831,,486.759668600047,10,486.8190718999831,486.8190718999831,0.031091699958778918,489.00614690000657,[-0.115],[-0.37833333333333335],[1],[0],[0],[2.21569000009913],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
24,0,24,0,489.0527244999539,,489.0087960000383,10,489.0527244999539,489.0527244999539,0.030744099989533424,490.640062600025,[0.5066666666666667],[-0.26166666666666666],[1],[0],[0],[1.6010299999034032],3,001,2024-10-10_15h56.36.079,Visual Search Experiment,2024.1.5,None,2024-10-10 15h56.50.359916 +0530,
