trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.07037520001176745,,0.009941100026480854,5,0.07037520001176745,0.07037520001176745,0.03910109994467348,2.9607680999906734,[-0.325],[-0.18166666666666667],[1],[0],[0],[2.9209751000162214],4,001,2024-10-10_16h13.23.497,Visual Search Experiment,2024.1.5,None,2024-10-10 16h13.35.638617 +0530,
1,0,1,0,2.9894892999436706,,2.9645825000479817,5,2.9894892999436706,2.9894892999436706,0.014142300002276897,4.708810799987987,[0.051666666666666666],[-0.0033333333333333335],[1],[0],[0],[1.730273099965416],4,001,2024-10-10_16h13.23.497,Visual Search Experiment,2024.1.5,None,2024-10-10 16h13.35.638617 +0530,
2,0,2,0,4.7558881000149995,,4.711078000022098,10,4.7558881000149995,4.7558881000149995,0.03132519999053329,6.92841509997379,[0.48833333333333334],[0.19],[1],[0],[0],[2.1862925000023097],4,001,2024-10-10_16h13.23.497,Visual Search Experiment,2024.1.5,None,2024-10-10 16h13.35.638617 +0530,
3,0,3,0,6.97336089995224,,6.9308248000452295,10,6.97336089995224,6.97336089995224,0.028239900013431907,12.663703999947757,[0.07833333333333334],[-0.38166666666666665],[1],[0],[0],[5.704866999993101],4,001,2024-10-10_16h13.23.497,Visual Search Experiment,2024.1.5,None,2024-10-10 16h13.35.638617 +0530,
4,0,4,0,12.708700499963015,,12.666562999947928,5,12.708700499963015,12.708700499963015,0.02215620002243668,16.014950799988583,[-0.135],[-0.31166666666666665],[1],[0],[0],[3.3267991999164224],4,001,2024-10-10_16h13.23.497,Visual Search Experiment,2024.1.5,None,2024-10-10 16h13.35.638617 +0530,
5,0,5,0,16.060223400010727,,16.01726009999402,5,16.060223400010727,16.060223400010727,0.019025800051167607,18.216409799992107,[-0.12166666666666667],[0.485],[1],[0],[0],[2.1804272999288514],4,001,2024-10-10_16h13.23.497,Visual Search Experiment,2024.1.5,None,2024-10-10 16h13.35.638617 +0530,
6,0,6,0,18.244572299998254,,18.21871090005152,5,18.244572299998254,18.244572299998254,0.016197099932469428,22.282757499953732,[0.17333333333333334],[-0.3416666666666667],[1],[0],[0],[4.048113199998625],4,001,2024-10-10_16h13.23.497,Visual Search Experiment,2024.1.5,None,2024-10-10 16h13.35.638617 +0530,
7,0,7,0,22.345784200006165,,22.285090500023216,10,22.345784200006165,22.345784200006165,0.032318799989297986,24.084770899964496,[-0.3466666666666667],[0.44166666666666665],[1],[0],[0],[1.7676290000090376],4,001,2024-10-10_16h13.23.497,Visual Search Experiment,2024.1.5,None,2024-10-10 16h13.35.638617 +0530,
8,0,8,0,24.146847099997103,,24.08714560000226,10,24.146847099997103,24.146847099997103,0.03393749997485429,29.55240479996428,[0.27166666666666667],[0.49833333333333335],[1],[0],[0],[5.431640600087121],4,001,2024-10-10_16h13.23.497,Visual Search Experiment,2024.1.5,None,2024-10-10 16h13.35.638617 +0530,
9,0,9,0,29.598605999955907,,29.554754700046033,10,29.598605999955907,29.598605999955907,0.031306999968364835,31.170705499942414,[-0.48],[0.25333333333333335],[1],[0],[0],[1.584898499888368],4,001,2024-10-10_16h13.23.497,Visual Search Experiment,2024.1.5,None,2024-10-10 16h13.35.638617 +0530,
10,0,10,0,31.199412600020878,,31.173108199960552,5,31.199412600020878,31.199412600020878,0.016873499960638583,33.50442440004554,[0.34],[-0.16],[1],[0],[0],[2.314740699948743],4,001,2024-10-10_16h13.23.497,Visual Search Experiment,2024.1.5,None,2024-10-10 16h13.35.638617 +0530,
11,0,11,0,33.566959899966605,,33.50667999999132,10,33.566959899966605,33.566959899966605,0.03607570007443428,36.72271360002924,[0.445],[-0.4],[1],[0],[0],[3.1801681000506505],4,001,2024-10-10_16h13.23.497,Visual Search Experiment,2024.1.5,None,2024-10-10 16h13.35.638617 +0530,
12,0,12,0,36.78508669999428,,36.72549380001146,10,36.78508669999428,36.78508669999428,0.033194299903698266,38.70559330005199,[-0.495],[-0.05],[1],[0],[0],[1.9476521000033244],4,001,2024-10-10_16h13.23.497,Visual Search Experiment,2024.1.5,None,2024-10-10 16h13.35.638617 +0530,
