trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,0,29.124449700000696,,29.098996199900284,5,29.124449700000696,29.124449700000696,0.018156100064516068,30.712237100000493,[0.17833333333333334],[-0.4666666666666667],[1],[0],[0],[1.5954659000271931],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
11,0,11,0,30.775266899960116,,30.71455779997632,10,30.775266899960116,30.775266899960116,0.036968300002627075,32.86319149995688,[-0.49666666666666665],[0.43166666666666664],[1],[0],[0],[2.1118838998954743],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
12,0,12,0,32.90925279993098,,32.86577529995702,5,32.90925279993098,32.90925279993098,0.019215899985283613,35.365795099991374,[-0.14],[0.4116666666666667],[1],[0],[0],[2.4811944999964908],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
13,0,13,0,35.393376299995,,35.36810089997016,5,35.393376299995,35.393376299995,0.0182952000759542,37.14889959990978,[0.105],[-0.25166666666666665],[1],[0],[0],[1.762782200006768],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
14,0,14,0,37.17776879994199,,37.15121159993578,5,37.17776879994199,37.17776879994199,0.015866499976255,38.96605980000459,[-0.3016666666666667],[-0.23666666666666666],[1],[0],[0],[1.7992227000650018],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
15,0,15,0,39.0288348000031,,38.96850339998491,10,39.0288348000031,39.0288348000031,0.03473730001132935,40.16640499990899,[-0.25333333333333335],[-0.0033333333333333335],[1],[0],[0],[1.1633481999160722],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
16,0,16,0,40.3958721999079,,40.16909119999036,5,40.3958721999079,40.3958721999079,0.19572810002136976,43.80150409997441,[0.14666666666666667],[-0.455],[1],[0],[0],[3.436727000051178],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
17,0,17,0,43.84666129993275,,43.804326099925674,5,43.84666129993275,43.84666129993275,0.017452199943363667,45.83762449992355,[-0.4266666666666667],[0.4266666666666667],[1],[0],[0],[2.0161340000340715],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
18,0,18,0,45.881773600005545,,45.84029429999646,5,45.881773600005545,45.881773600005545,0.013773800106719136,47.35327049996704,[0.10333333333333333],[0.26],[1],[0],[0],[1.4994895999552682],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
19,0,19,0,47.39919259992894,,47.35552729992196,5,47.39919259992894,47.39919259992894,0.01618070004042238,48.786727999919094,[-0.515],[0.395],[1],[0],[0],[1.4151817000238225],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
